,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
3364,Anaplasmosis and Ehrlichiosis,Marin,2001,Female,0,125414,0.0,0.0,2.9410000000000003
47435,Early Syphilis,San Benito,2009,Female,0,27492,0.0,0.0,13.417
8922,"Botulism, Foodborne",San Benito,2001,Male,0,27611,0.0,0.0,13.359000000000002
85167,Mumps,Santa Clara,2011,Male,0,906438,0.0,0.0,0.40700000000000003
25591,Ciguatera Fish Poisoning,Lassen,2009,Female,0,12461,0.0,0.0,29.599
126863,Tuberculosis,Lassen,2012,Male,2,21604,9.258,1.121,33.437
72151,Leprosy,Yolo,2010,Male,1,98180,1.0190000000000001,0.026000000000000002,5.675
27920,Coccidioidomycosis,Kern,2009,Male,350,428435,81.693,73.36,90.712
25939,Ciguatera Fish Poisoning,Mono,2013,Female,0,6859,0.0,0.0,53.766999999999996
54653,Hantavirus Infection,Orange,2002,Female,0,1469089,0.0,0.0,0.251
127829,Tuberculosis,San Mateo,2012,Male,32,361861,8.843,6.0489999999999995,12.484000000000002
114725,Spotted Fever Rickettsiosis,Tulare,2006,Male,0,208162,0.0,0.0,1.7719999999999998
88251,Pertussis,Del Norte,2011,Male,0,15867,0.0,0.0,23.246
67473,Legionellosis,Butte,2009,Male,0,108320,0.0,0.0,3.405
69359,Legionellosis,Sonoma,2011,Male,1,239382,0.418,0.011000000000000001,2.327
95543,Q Fever,Calaveras,2003,Male,0,21531,0.0,0.0,17.131
14234,"Botulism, Wound",Santa Barbara,2002,Female,0,202843,0.0,0.0,1.819
22353,Chlamydia,Yuba,2014,Male,63,36922,170.62900000000002,131.141,218.25799999999998
90232,Pertussis,Tulare,2008,Female,5,215546,2.32,0.753,5.412999999999999
116317,Streptococcal Infection (cases in food and dairy workers),Amador,2005,Male,0,20732,0.0,0.0,17.792
49178,Giardiasis,Lake,2008,Male,2,32211,6.209,0.752,22.427
65725,Invasive Meningococcal Disease,Mariposa,2013,Male,0,9054,0.0,0.0,40.735
70163,Leprosy,El Dorado,2013,Male,0,91450,0.0,0.0,4.034
53321,Gonorrhea,Yolo,2001,Male,20,85447,23.406,14.298,36.147
43160,E. coli O157,Orange,2014,Male,4,1549421,0.258,0.07,0.6609999999999999
27154,Ciguatera Fish Poisoning,Ventura,2006,Male,0,398713,0.0,0.0,0.925
126265,Tuberculosis,Butte,2009,Female,0,110967,0.0,0.0,3.324
38783,Dengue,Shasta,2014,Female,0,90621,0.0,0.0,4.071000000000001
122469,Toxic Shock Syndrome (Non-Streptococcal),Plumas,2004,Female,0,10447,0.0,0.0,35.304
44154,E. coli O157,Tulare,2008,Female,6,215546,2.784,1.022,6.059
34573,Cysticercosis or Taeniasis,Butte,2007,Male,0,107088,0.0,0.0,3.445
117531,Streptococcal Infection (cases in food and dairy workers),Plumas,2002,Female,0,10333,0.0,0.0,35.694
84971,Mumps,Orange,2011,Female,1,1539616,0.065,0.002,0.36200000000000004
39854,Diphtheria,Humboldt,2007,Female,0,66424,0.0,0.0,5.553
73766,Leptospirosis,San Bernardino,2006,Female,0,993098,0.0,0.0,0.371
115022,Staphylococcus aureus Infection (cases resulting in death or ICU),Butte,2014,Male,0,111268,0.0,0.0,3.315
15959,Brucellosis,Merced,2002,Male,0,111322,0.0,0.0,3.3139999999999996
67725,Legionellosis,Fresno,2009,Male,2,461948,0.433,0.052000000000000005,1.564
115115,Staphylococcus aureus Infection (cases resulting in death or ICU),Contra Costa,2013,Male,0,527673,0.0,0.0,0.6990000000000001
137714,Vibrio Infection (non-Cholera),Madera,2008,Female,0,77369,0.0,0.0,4.768
65826,Invasive Meningococcal Disease,Modoc,2005,Female,1,4737,21.112,0.534,117.56299999999999
113557,Spotted Fever Rickettsiosis,Mono,2010,Female,0,6698,0.0,0.0,55.059
54845,Hantavirus Infection,Sacramento,2010,Female,0,724678,0.0,0.0,0.509
57059,Hemolytic Uremic Syndrome,Napa,2004,Female,0,65235,0.0,0.0,5.655
55709,Hantavirus Infection,Tuolumne,2003,Male,0,29793,0.0,0.0,12.380999999999998
97545,Q Fever,Trinity,2003,Female,0,6516,0.0,0.0,56.597
35182,Cysticercosis or Taeniasis,Lassen,2014,Female,0,12089,0.0,0.0,30.51
69699,Legionellosis,Yolo,2012,Male,0,99947,0.0,0.0,3.6910000000000003
6307,Babesiosis,Placer,2013,Male,0,178149,0.0,0.0,2.0709999999999997
20719,Chlamydia,Madera,2002,Female,348,66805,520.919,467.741,578.462
131899,"Typhoid Fever, case",Madera,2014,Male,0,74290,0.0,0.0,4.965
24171,Cholera,Santa Clara,2012,Male,0,916065,0.0,0.0,0.40299999999999997
32201,Cryptosporidiosis,Merced,2001,Female,0,108778,0.0,0.0,3.391
53365,Gonorrhea,Yuba,2002,Female,14,31142,44.955,24.58,75.416
108079,Scombroid Fish Poisoning,Solano,2010,Female,0,207038,0.0,0.0,1.7819999999999998
2099,Amebiasis,Sonoma,2014,Male,3,244068,1.229,0.253,3.592
4624,Anaplasmosis and Ehrlichiosis,Stanislaus,2013,Male,0,260789,0.0,0.0,1.4140000000000001
140204,Yersiniosis,Marin,2008,Male,0,123447,0.0,0.0,2.988
70576,Leprosy,Los Angeles,2005,Male,0,4839224,0.0,0.0,0.076
194,Amebiasis,Butte,2009,Male,0,108320,0.0,0.0,3.405
89004,Pertussis,Mono,2010,Male,7,7536,92.88799999999999,37.353,191.28900000000002
46387,Early Syphilis,Fresno,2009,Male,32,461948,6.9270000000000005,4.738,9.779
43965,E. coli O157,Stanislaus,2001,Female,6,235061,2.553,0.937,5.556
110202,Shigellosis,Colusa,2005,Female,0,10072,0.0,0.0,36.618
63906,Influenza Death (<65 years of age),Humboldt,2013,Female,0,66776,0.0,0.0,5.524
100510,Relapsing Fever,Colusa,2009,Male,0,10897,0.0,0.0,33.847
109940,Shiga Toxin Positive Feces (without culture confirmation),Yuba,2014,Female,0,36503,0.0,0.0,10.105
36888,Dengue,California,2002,Male,2,17384620,0.012,0.001,0.042
71232,Leprosy,San Benito,2012,Female,0,28368,0.0,0.0,13.003
88548,Pertussis,Kern,2012,Male,1,444012,0.225,0.006,1.255
112417,Shigellosis,Yuba,2008,Female,1,35527,2.815,0.071,15.682
40169,Diphtheria,Los Angeles,2014,Female,0,5099884,0.0,0.0,0.07200000000000001
105990,Salmonellosis,Ventura,2014,Female,56,424467,13.193,9.966000000000001,17.132
30180,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Lake,2013,Female,0,32011,0.0,0.0,11.523
117490,Streptococcal Infection (cases in food and dairy workers),Placer,2002,Male,0,135549,0.0,0.0,2.721
93604,Psittacosis,Lake,2003,Female,0,31191,0.0,0.0,11.825999999999999
27851,Coccidioidomycosis,Imperial,2014,Male,0,93031,0.0,0.0,3.965
64069,Influenza Death (<65 years of age),Marin,2013,Female,1,130130,0.768,0.019,4.282
833,Amebiasis,Los Angeles,2012,Male,78,4907522,1.589,1.256,1.984
21398,Chlamydia,San Bernardino,2004,Male,1816,945729,192.021,183.298,201.05200000000002
52480,Gonorrhea,San Diego,2008,Male,1245,1532607,81.234,76.786,85.87299999999999
33385,Cryptosporidiosis,Tehama,2002,Male,0,28371,0.0,0.0,13.001
4197,Anaplasmosis and Ehrlichiosis,San Luis Obispo,2011,Female,0,131572,0.0,0.0,2.804
30006,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Fresno,2011,Female,0,469845,0.0,0.0,0.785
6574,Babesiosis,San Francisco,2004,Male,0,396525,0.0,0.0,0.93
76752,Listeriosis,Stanislaus,2002,Male,0,233294,0.0,0.0,1.581
22236,Chlamydia,Ventura,2003,Male,311,393044,79.126,70.578,88.42299999999999
31603,Cryptosporidiosis,El Dorado,2012,Male,2,91335,2.19,0.265,7.91
131125,"Typhoid Fever, case",Alpine,2008,Male,0,627,0.0,0.0,586.611
35357,Cysticercosis or Taeniasis,Mendocino,2002,Female,0,43840,0.0,0.0,8.414
19346,Campylobacteriosis,Sierra,2007,Female,0,1648,0.0,0.0,223.58900000000003
47757,Early Syphilis,Santa Clara,2004,Female,8,840509,0.9520000000000001,0.41100000000000003,1.875
140659,Yersiniosis,Plumas,2006,Female,0,10380,0.0,0.0,35.532
27400,Coccidioidomycosis,Amador,2004,Female,1,16732,5.977,0.151,33.295
28944,Coccidioidomycosis,San Joaquin,2013,Female,15,352410,4.256,2.3819999999999997,7.02
